map_seed,class_id,recall,recall_nominal,excess
99,55,0.28,0.41,0.13
99,56,0.63,0.86,0.23
99,57,0.79,0.75,-0.04
99,58,0.6,0.85,0.25
99,59,0.31,0.71,0.4
99,60,0.88,0.88,0.0
99,61,0.27,0.72,0.45
99,62,0.73,0.79,0.06
99,63,0.27,0.68,0.41
99,64,0.16,0.54,0.38
99,65,0.45,0.66,0.21
99,66,0.59,0.78,0.19
99,67,0.57,0.62,0.05
99,68,0.37,0.93,0.56
99,69,0.61,0.79,0.18
99,70,0.1,0.71,0.61
99,71,0.78,0.87,0.09
99,72,0.36,0.53,0.17
99,73,0.46,0.57,0.11
99,74,0.5,0.58,0.08
99,75,0.75,0.87,0.12
99,76,0.72,0.89,0.17
99,77,0.35,0.76,0.41
99,78,0.28,0.62,0.34
99,79,0.67,0.88,0.21
99,80,0.08,0.57,0.49
99,81,0.31,0.81,0.5
99,82,0.62,0.91,0.29
99,83,0.22,0.51,0.29
99,84,0.23,0.62,0.39
99,85,0.59,0.87,0.28
99,86,0.37,0.71,0.34
99,87,0.59,0.8,0.21
99,88,0.11,0.78,0.67
99,89,0.25,0.93,0.68
99,90,0.45,0.83,0.38
99,91,0.63,0.72,0.09
99,92,0.24,0.58,0.34
99,93,0.22,0.57,0.35
99,94,0.78,0.93,0.15
99,95,0.59,0.74,0.15
99,96,0.65,0.57,-0.08
99,97,0.37,0.75,0.38
99,98,0.16,0.38,0.22
99,99,0.6,0.77,0.17
110,0,0.93,0.91,-0.02
110,1,0.84,0.86,0.02
110,2,0.81,0.78,-0.03
110,3,0.64,0.55,-0.09
110,4,0.55,0.61,0.06
110,5,0.83,0.85,0.02
110,6,0.71,0.76,0.05
110,7,0.72,0.76,0.04
110,8,0.87,0.89,0.02
110,9,0.83,0.8,-0.03
110,10,0.47,0.51,0.04
110,11,0.36,0.44,0.08
110,12,0.82,0.85,0.03
110,13,0.59,0.63,0.04
110,14,0.7,0.76,0.06
110,15,0.69,0.8,0.11
110,16,0.78,0.82,0.04
110,17,0.88,0.86,-0.02
110,18,0.7,0.69,-0.01
110,19,0.64,0.69,0.05
110,20,0.79,0.83,0.04
110,21,0.75,0.8,0.05
110,22,0.68,0.73,0.05
110,23,0.75,0.78,0.03
110,24,0.89,0.83,-0.06
110,25,0.54,0.62,0.08
110,26,0.64,0.67,0.03
110,27,0.41,0.52,0.11
110,28,0.78,0.79,0.01
110,29,0.66,0.68,0.02
110,30,0.57,0.63,0.06
110,31,0.77,0.76,-0.01
110,32,0.59,0.6,0.01
110,33,0.63,0.62,-0.01
110,34,0.66,0.68,0.02
110,35,0.44,0.42,-0.02
110,36,0.7,0.73,0.03
110,37,0.73,0.78,0.05
110,38,0.69,0.74,0.05
110,39,0.81,0.84,0.03
110,40,0.7,0.69,-0.01
110,41,0.78,0.77,-0.01
110,42,0.72,0.79,0.07
110,43,0.74,0.77,0.03
110,44,0.38,0.43,0.05
110,45,0.6,0.59,-0.01
110,46,0.61,0.6,-0.01
110,47,0.73,0.7,-0.03
110,48,0.89,0.88,-0.01
110,49,0.83,0.8,-0.03
110,50,0.56,0.54,-0.02
110,51,0.64,0.63,-0.01
110,52,0.61,0.62,0.01
110,53,0.91,0.95,0.04
110,54,0.84,0.82,-0.02
110,55,0.45,0.41,-0.04
110,56,0.86,0.86,0.0
110,57,0.72,0.75,0.03
110,58,0.86,0.85,-0.01
110,59,0.67,0.71,0.04
110,60,0.85,0.88,0.03
110,61,0.69,0.72,0.03
110,62,0.85,0.79,-0.06
110,63,0.67,0.68,0.01
110,64,0.52,0.54,0.02
110,65,0.66,0.66,0.0
110,66,0.81,0.78,-0.03
110,67,0.59,0.62,0.03
110,68,0.91,0.93,0.02
110,69,0.77,0.79,0.02
110,70,0.7,0.71,0.01
110,71,0.87,0.87,0.0
110,72,0.49,0.53,0.04
110,73,0.65,0.57,-0.08
110,74,0.52,0.58,0.06
110,75,0.83,0.87,0.04
110,76,0.91,0.89,-0.02
110,77,0.65,0.76,0.11
110,78,0.56,0.62,0.06
110,79,0.86,0.88,0.02
110,80,0.47,0.57,0.1
110,81,0.85,0.81,-0.04
110,82,0.9,0.91,0.01
110,83,0.49,0.51,0.02
110,84,0.61,0.62,0.01
110,85,0.83,0.87,0.04
110,86,0.67,0.71,0.04
110,87,0.82,0.8,-0.02
110,88,0.77,0.78,0.01
110,89,0.9,0.93,0.03
110,90,0.8,0.83,0.03
110,91,0.72,0.72,0.0
110,92,0.49,0.58,0.09
110,93,0.55,0.57,0.02
110,94,0.94,0.93,-0.01
110,95,0.67,0.74,0.07
110,96,0.54,0.57,0.03
110,97,0.7,0.75,0.05
110,98,0.32,0.38,0.06
110,99,0.79,0.77,-0.02
