map_seed,class_id,recall,recall_nominal,excess
22,96,0.46,0.57,0.11
22,97,0.74,0.75,0.01
22,98,0.3,0.38,0.08
22,99,0.68,0.77,0.09
33,0,0.9,0.91,0.01
33,1,0.82,0.86,0.04
33,2,0.8,0.78,-0.02
33,3,0.54,0.55,0.01
33,4,0.64,0.61,-0.03
33,5,0.82,0.85,0.03
33,6,0.76,0.76,0.0
33,7,0.71,0.76,0.05
33,8,0.86,0.89,0.03
33,9,0.8,0.8,0.0
33,10,0.53,0.51,-0.02
33,11,0.4,0.44,0.04
33,12,0.79,0.85,0.06
33,13,0.64,0.63,-0.01
33,14,0.73,0.76,0.03
33,15,0.75,0.8,0.05
33,16,0.81,0.82,0.01
33,17,0.88,0.86,-0.02
33,18,0.67,0.69,0.02
33,19,0.74,0.69,-0.05
33,20,0.78,0.83,0.05
33,21,0.78,0.8,0.02
33,22,0.69,0.73,0.04
33,23,0.76,0.78,0.02
33,24,0.81,0.83,0.02
33,25,0.57,0.62,0.05
33,26,0.62,0.67,0.05
33,27,0.39,0.52,0.13
33,28,0.78,0.79,0.01
33,29,0.66,0.68,0.02
33,30,0.58,0.63,0.05
33,31,0.67,0.76,0.09
33,32,0.69,0.6,-0.09
33,33,0.62,0.62,0.0
33,34,0.67,0.68,0.01
33,35,0.36,0.42,0.06
33,36,0.68,0.73,0.05
33,37,0.76,0.78,0.02
33,38,0.7,0.74,0.04
33,39,0.86,0.84,-0.02
33,40,0.65,0.69,0.04
33,41,0.67,0.77,0.1
33,42,0.81,0.79,-0.02
33,43,0.65,0.77,0.12
33,44,0.39,0.43,0.04
33,45,0.59,0.59,0.0
33,46,0.61,0.6,-0.01
33,47,0.67,0.7,0.03
33,48,0.92,0.88,-0.04
33,49,0.81,0.8,-0.01
33,50,0.5,0.54,0.04
33,51,0.66,0.63,-0.03
33,52,0.57,0.62,0.05
33,53,0.92,0.95,0.03
33,54,0.8,0.82,0.02
33,55,0.39,0.41,0.02
33,56,0.86,0.86,0.0
33,57,0.77,0.75,-0.02
33,58,0.78,0.85,0.07
33,59,0.74,0.71,-0.03
33,60,0.87,0.88,0.01
33,61,0.72,0.72,0.0
33,62,0.77,0.79,0.02
33,63,0.71,0.68,-0.03
33,64,0.53,0.54,0.01
33,65,0.55,0.66,0.11
33,66,0.81,0.78,-0.03
33,67,0.6,0.62,0.02
33,68,0.91,0.93,0.02
33,69,0.79,0.79,0.0
33,70,0.74,0.71,-0.03
33,71,0.81,0.87,0.06
33,72,0.52,0.53,0.01
33,73,0.56,0.57,0.01
33,74,0.59,0.58,-0.01
33,75,0.82,0.87,0.05
33,76,0.86,0.89,0.03
33,77,0.73,0.76,0.03
33,78,0.64,0.62,-0.02
33,79,0.84,0.88,0.04
33,80,0.59,0.57,-0.02
33,81,0.91,0.81,-0.1
33,82,0.93,0.91,-0.02
33,83,0.38,0.51,0.13
33,84,0.56,0.62,0.06
33,85,0.82,0.87,0.05
33,86,0.7,0.71,0.01
33,87,0.81,0.8,-0.01
33,88,0.77,0.78,0.01
33,89,0.92,0.93,0.01
33,90,0.77,0.83,0.06
33,91,0.76,0.72,-0.04
33,92,0.49,0.58,0.09
33,93,0.6,0.57,-0.03
33,94,0.9,0.93,0.03
33,95,0.77,0.74,-0.03
33,96,0.6,0.57,-0.03
33,97,0.75,0.75,0.0
33,98,0.37,0.38,0.01
33,99,0.72,0.77,0.05
44,0,0.88,0.91,0.03
44,1,0.86,0.86,0.0
44,2,0.81,0.78,-0.03
44,3,0.52,0.55,0.03
44,4,0.6,0.61,0.01
44,5,0.83,0.85,0.02
44,6,0.71,0.76,0.05
44,7,0.66,0.76,0.1
44,8,0.86,0.89,0.03
44,9,0.85,0.8,-0.05
44,10,0.44,0.51,0.07
44,11,0.45,0.44,-0.01
44,12,0.8,0.85,0.05
44,13,0.54,0.63,0.09
44,14,0.74,0.76,0.02
44,15,0.74,0.8,0.06
44,16,0.75,0.82,0.07
44,17,0.87,0.86,-0.01
44,18,0.65,0.69,0.04
44,19,0.71,0.69,-0.02
44,20,0.83,0.83,0.0
44,21,0.79,0.8,0.01
44,22,0.72,0.73,0.01
44,23,0.74,0.78,0.04
44,24,0.81,0.83,0.02
44,25,0.65,0.62,-0.03
44,26,0.63,0.67,0.04
44,27,0.44,0.52,0.08
44,28,0.78,0.79,0.01
44,29,0.64,0.68,0.04
